,disc_A_loss,disc_B_loss,total_gen_AtoB_loss,total_gen_BtoA_loss,gen_AtoB_loss,gen_BtoA_loss,cycle_forward_loss,cycle_backward_loss,total_cycle_loss,ident_B_loss,ident_A_loss
0,0.06531892716884613,0.26273706555366516,1.2882939577102661,1.5043745040893555,0.2770310938358307,0.636883556842804,0.14810660481452942,0.6269358396530151,0.7750424146652222,0.23622043430805206,0.09244845062494278
1,0.18639615178108215,0.237961545586586,1.1448692083358765,1.011712670326233,0.2733875513076782,0.27570170164108276,0.11430343985557556,0.5706726312637329,0.6849760413169861,0.18650561571121216,0.051034893840551376
2,0.14076745510101318,0.2418539822101593,0.9786657691001892,0.9658498167991638,0.2728465497493744,0.34178534150123596,0.09496502578258514,0.48585331439971924,0.5808183550834656,0.12500089406967163,0.04324609413743019
3,0.12151718884706497,0.23617053031921387,1.0307596921920776,1.016235589981079,0.3043151795864105,0.3589555025100708,0.12049510329961777,0.47593697905540466,0.596432089805603,0.1300124228000641,0.06084803119301796
4,0.1557879000902176,0.2449328601360321,1.0532588958740234,1.35368013381958,0.2652527391910553,0.6827865242958069,0.09568645060062408,0.5300467014312744,0.6257331371307373,0.1622730791568756,0.04516055807471275
5,0.17176450788974762,0.24683013558387756,1.2332957983016968,1.3726848363876343,0.2655022144317627,0.5805673599243164,0.11000543087720871,0.6308526992797852,0.7408581972122192,0.22693541646003723,0.05125929415225983
6,0.11880719661712646,0.23816144466400146,1.0425491333007812,1.1123902797698975,0.2782045006752014,0.4229300320148468,0.10692755877971649,0.5293801426887512,0.6363076567649841,0.1280370056629181,0.053152598440647125
7,0.10705062747001648,0.2484792172908783,1.0433483123779297,1.1765207052230835,0.26286131143569946,0.5050358772277832,0.08849652111530304,0.5385733842849731,0.6270699501037598,0.15341711044311523,0.044414930045604706
8,0.1171363890171051,0.2482733428478241,1.1302422285079956,1.4069191217422485,0.2580909729003906,0.6525105834007263,0.11847986280918121,0.5809751749038696,0.6994550228118896,0.17269623279571533,0.054953500628471375
9,0.13738657534122467,0.2548903822898865,1.246125340461731,1.209370732307434,0.3031468689441681,0.42778724431991577,0.13584451377391815,0.5886383056640625,0.7244828343391418,0.21849565207958221,0.05710068345069885
