,disc_A_loss,disc_B_loss,total_gen_AtoB_loss,total_gen_BtoA_loss,gen_AtoB_loss,gen_BtoA_loss,cycle_forward_loss,cycle_backward_loss,total_cycle_loss,ident_B_loss,ident_A_loss
0,0.8623706102371216,0.9385005831718445,3.0920639038085938,3.237480640411377,1.156667709350586,0.9776210784912109,1.1821229457855225,0.5029564499855042,1.6850793361663818,0.2503167986869812,0.5747801065444946
1,0.6942670345306396,0.6183421611785889,1.107853889465332,1.086827039718628,0.8170595765113831,0.818184494972229,0.0894944816827774,0.1509493738412857,0.2404438555240631,0.050350405275821686,0.02819875068962574
2,0.6205694675445557,0.7220060229301453,1.2282204627990723,1.06540846824646,0.9870107769966125,0.8510585427284241,0.079170361161232,0.11404715478420258,0.19321751594543457,0.04799218475818634,0.021132461726665497
3,0.6041682958602905,0.5669474005699158,1.3162269592285156,1.0269869565963745,1.0497976541519165,0.7811289429664612,0.08202257752418518,0.14091473817825317,0.22293731570243835,0.0434919111430645,0.022920764982700348
4,0.6072255969047546,0.5645896196365356,1.2069103717803955,1.2077139616012573,0.9183335304260254,0.9303617477416992,0.09221221506595612,0.1496608853340149,0.241873100399971,0.04670371487736702,0.03547905758023262
5,0.6322804689407349,0.6056574583053589,1.0336494445800781,1.1793698072433472,0.7597213983535767,0.9303185939788818,0.07850451022386551,0.15071898698806763,0.22922348976135254,0.044704586267471313,0.019827699288725853
6,0.5917198657989502,0.6873492002487183,1.1938217878341675,1.20382559299469,0.8390697240829468,0.8744204044342041,0.14098329842090607,0.15830489993095398,0.29928821325302124,0.055463872849941254,0.03011694923043251
7,0.6667922735214233,0.6759921312332153,1.4381897449493408,1.1071820259094238,1.1074965000152588,0.7939600944519043,0.09964050352573395,0.17603234946727753,0.2756728529930115,0.05502036213874817,0.03754899650812149
8,0.5338402390480042,0.6217108964920044,1.3010227680206299,1.3284006118774414,0.9258753061294556,0.9618410468101501,0.14282140135765076,0.17919930815696716,0.3220207095146179,0.05312681198120117,0.044538844376802444
9,0.4844876229763031,0.5939006805419922,1.280645728111267,1.282906174659729,0.8849461078643799,0.9121907949447632,0.14196525514125824,0.2015775889158249,0.34354284405708313,0.05215679854154587,0.027172576636075974
